name,ontour,playcount,listeners,genre1,genre2,genre3,sex,first_album,age (since 1st album)
ENHYPEN,1,100176208,556212,k pop,pop,boy group,m,2021.0,2.0
BLACKPINK,0,221582833,1217677,k pop,pop,girl group,fb,2020.0,3.0
The Chainsmokers,1,55524219,1845061,electronic,pop,house,m,2017.0,6.0
Stevie Wonder,0,70284959,3052196,soul,funk,motown,m,1962.0,61.0
Aerosmith,1,92977117,3736063,rock,classic rock,hard rock,mb,1973.0,50.0
Jimi Hendrix,0,103201145,3447153,classic rock,rock,blues,m,1967.0,56.0
The Offspring,0,156556290,3629971,punk rock,punk,rock,mb,1989.0,34.0
The walters,0,16358114,951622,indie rock,indie,indie pop,mb,2014.0,9.0
Kings of Leon,0,197039844,4173583,rock,indie,indie rock,mb,2003.0,20.0
Clairo,0,112246368,1628836,dream pop,bedroom pop,indie pop,f,2019.0,4.0
LIL UZI VERT,0,225628470,1711961,trap,hip hop,rap,m,2017.0,6.0
Sade,0,52084098,1989477,soul,jazz,chillout,f,1984.0,39.0
Cults,0,30940883,1573823,indie pop,lo fi,experimental,mfb,2011.0,12.0
Britney Spears,0,295888553,4716524,pop,dance,britney spears,f,1999.0,24.0
Paul McCartney,1,52684495,2449067,classic rock,rock,british,m,1970.0,53.0
xxxtentacion,0,180641582,1764023,hip hop,rap,cloud rap,m,2017.0,6.0
Earl Sweatshirt,0,94412968,1124686,hip hop,rap,underground hip hop,m,2013.0,10.0
Bryson Tiller,0,40958713,935577,rnb,hip hop,trap,m,2015.0,8.0
My Bloody Valentine,0,84942346,1521126,shoegaze,dream pop,indie,mfb,1988.0,35.0
Frank Sinatra,0,105822505,3521421,jazz,swing,oldies,m,1946.0,77.0
21 Savage,0,103015945,1310659,trap,hip hop,rap,m,2017.0,6.0
Black Eyed Peas,0,103968896,4650746,hip hop,pop,rnb,mfb,1998.0,25.0
Fall Out Boy,1,242230681,3847141,pop punk,rock,emo,mb,2003.0,20.0
Blur,0,132028329,3757625,rock,indie,alternative,mb,1991.0,32.0
The Lumineers,0,59524347,1957358,folk,indie,folk rock,mfb,2012.0,11.0
DJ Khaled,0,40347429,2200724,hip hop,rap,djs,m,2006.0,17.0
The White Stripes,0,153873874,3882115,rock,alternative,alternative rock,mfb,1999.0,24.0
Slipknot,0,214093007,3158345,nu metal,metal,heavy metal,mb,1999.0,24.0
yeat,0,150981761,771058,trap,rap,cloud rap,m,2021.0,2.0
(G)I-DLE,1,62984155,653506,k pop,pop,girl group,fb,2022.0,1.0
Duster,0,61884014,861209,space rock,shoegaze,indie rock,mb,1998.0,25.0
Juice WRLD,1,292918434,1555033,emo rap,hip hop,rap,m,2018.0,5.0
Current Joys,1,27134780,906395,indie,indie rock,indie pop,m,2013.0,10.0
DJ Snake,1,29060527,1622690,trap,electronic,dance,m,2016.0,7.0
The Smashing Pumpkins,0,185461435,3735110,alternative rock,rock,alternative,mb,1991.0,32.0
